valid_time,latitude,longitude,tp,u10,v10,t2m,slt,swvl1,swvl2,swvl3,swvl4,lai_hv,lai_lv,site_id
2008-06-01,51.80342,-0.372683,0.0015659332,2.2029295,0.42331886,288.2444,4.0,0.3791502,0.38493317,0.38100135,0.42800903,2.3898926,2.7867432,site_1
2008-07-01,51.80342,-0.372683,0.0025596619,1.7405853,1.5039053,290.18506,4.0,0.35254353,0.33888727,0.34288353,0.42123413,2.2663574,2.3173828,site_1
2008-08-01,51.80342,-0.372683,0.0026245117,2.6050577,2.5397024,289.70483,4.0,0.40286458,0.37743282,0.3269369,0.41438293,2.1921387,2.0488281,site_1
2008-09-01,51.80342,-0.372683,0.0021209717,0.4658966,0.84540844,286.62598,4.0,0.4084813,0.4056974,0.360353,0.40994263,2.1564941,1.9645996,site_1
2008-10-01,51.80342,-0.372683,0.0016307831,2.5189362,1.5432663,282.91772,4.0,0.4107719,0.4031281,0.37444144,0.4073944,2.1420898,1.9381104,site_1
2008-11-01,51.80342,-0.372683,0.002231598,1.9520216,-0.58162403,280.55127,4.0,0.44996333,0.44855452,0.42224646,0.4083557,2.171875,2.0766602,site_1
2008-12-01,51.80342,-0.372683,0.0011672974,1.1148548,-0.2801628,277.0935,4.0,0.44094217,0.44615585,0.44946146,0.41989136,2.184204,2.1381836,site_1
2009-01-01,51.80342,-0.372683,0.001750946,0.4540987,2.0938635,275.93628,4.0,0.43631333,0.43820632,0.44446605,0.43011475,2.173706,2.1306152,site_1
2009-02-01,51.80342,-0.372683,0.0024700165,1.1591616,-1.0405769,277.23926,4.0,0.43955368,0.44350892,0.45786035,0.4427185,2.0916748,1.9171143,site_1
2009-03-01,51.80342,-0.372683,0.0011692047,2.617114,0.10369778,280.11328,4.0,0.41849607,0.42066574,0.43467492,0.4476776,2.131836,2.0184326,site_1
2009-04-01,51.80342,-0.372683,0.0014801025,-0.5224085,0.74718475,283.4961,4.0,0.39782113,0.39496315,0.39932817,0.4434662,2.253296,2.3707275,site_1
2009-05-01,51.80342,-0.372683,0.0015029907,1.1904554,1.0158644,285.9768,4.0,0.3533756,0.3408472,0.3570782,0.4358368,2.3829346,2.7816162,site_1
2009-06-01,51.80342,-0.372683,0.0022125244,-0.32340145,-0.48353577,288.51514,4.0,0.34818006,0.32343817,0.3138979,0.4259491,2.3898926,2.7867432,site_1
2009-07-01,51.80342,-0.372683,0.0031108856,2.5224686,2.267972,289.76392,4.0,0.37185514,0.33832574,0.30904812,0.4162445,2.2663574,2.3173828,site_1
2009-08-01,51.80342,-0.372683,0.0012016296,2.0839434,1.9842415,290.53833,4.0,0.36163312,0.366422,0.32048935,0.40953064,2.1921387,2.0488281,site_1
2009-09-01,51.80342,-0.372683,0.0006942749,1.0696049,-0.9397974,287.979,4.0,0.2979573,0.29195553,0.3055876,0.4037323,2.1564941,1.9645996,site_1
2009-10-01,51.80342,-0.372683,0.0010871887,0.8318882,0.7814846,284.7566,4.0,0.3380285,0.31226885,0.30831677,0.3989563,2.1420898,1.9381104,site_1
2009-11-01,51.80342,-0.372683,0.0032997131,2.6186047,3.315795,282.1997,4.0,0.43507946,0.4162466,0.34056538,0.39585876,2.171875,2.0766602,site_1
2009-12-01,51.80342,-0.372683,0.0023670197,0.856287,0.26456547,276.63867,4.0,0.4479974,0.44606316,0.41310304,0.39631653,2.184204,2.1381836,site_1
2010-01-01,51.80342,-0.372683,0.0015926361,0.24382687,-0.7887554,274.7246,4.0,0.4420157,0.44467086,0.44043595,0.39698792,2.173706,2.1306152,site_1
2010-02-01,51.80342,-0.372683,0.0029277802,0.23560047,-0.51955605,276.23608,4.0,0.4527442,0.45444894,0.44750613,0.40914917,2.0916748,1.9171143,site_1
2010-03-01,51.80342,-0.372683,0.001449585,0.7131529,0.6390486,279.38208,4.0,0.42339236,0.42355293,0.44449973,0.42762756,2.131836,2.0184326,site_1
2010-04-01,51.80342,-0.372683,0.0008087158,0.28203297,0.0082798,282.4641,4.0,0.3737297,0.38831973,0.4204653,0.4296112,2.253296,2.3707275,site_1
2010-05-01,51.80342,-0.372683,0.0015773773,-0.1300869,-1.334753,284.32446,4.0,0.33514535,0.31868112,0.3543582,0.42503357,2.3829346,2.7816162,site_1
2010-06-01,51.80342,-0.372683,0.0012893677,-0.11299896,-0.8115225,289.18335,4.0,0.31776172,0.2930141,0.31661624,0.41671753,2.3898926,2.7867432,site_1
2010-07-01,51.80342,-0.372683,0.0011672974,2.1879196,1.6144934,291.5808,4.0,0.28644753,0.26899868,0.30956495,0.40751648,2.2663574,2.3173828,site_1
2010-08-01,51.80342,-0.372683,0.004058838,2.2359438,-0.11996651,289.10815,4.0,0.38498563,0.34119272,0.3151251,0.40097046,2.1921387,2.0488281,site_1
2010-09-01,51.80342,-0.372683,0.0015850067,1.4147921,0.45244884,287.0266,4.0,0.39237648,0.3815061,0.3406223,0.39720154,2.1564941,1.9645996,site_1
2010-10-01,51.80342,-0.372683,0.0023345947,0.56841373,0.31880188,283.72632,4.0,0.42882133,0.4253521,0.3855515,0.39544678,2.1420898,1.9381104,site_1
2010-11-01,51.80342,-0.372683,0.0017433167,1.0218029,-0.27727127,278.69336,4.0,0.43726814,0.43859965,0.4195181,0.3965454,2.171875,2.0766602,site_1
2010-12-01,51.80342,-0.372683,0.0010604858,0.32468987,-1.6598101,273.49097,4.0,0.4274755,0.42782974,0.42641634,0.4020996,2.184204,2.1381836,site_1
2011-01-01,51.80342,-0.372683,0.0022716522,1.0774956,-0.029284477,277.5088,4.0,0.4475072,0.45136362,0.4489457,0.41215515,2.173706,2.1306152,site_1
2011-02-01,51.80342,-0.372683,0.001657486,1.523406,2.3214455,279.7102,4.0,0.43442512,0.43559617,0.44287652,0.42738342,2.0916748,1.9171143,site_1
2011-03-01,51.80342,-0.372683,0.00036907196,-0.3222885,-0.05727291,279.84082,4.0,0.40165347,0.40941727,0.43437964,0.4317932,2.131836,2.0184326,site_1
2011-04-01,51.80342,-0.372683,0.00029563904,0.06681061,-0.3282261,285.45142,4.0,0.3018117,0.3213147,0.37686574,0.4295044,2.253296,2.3707275,site_1
2011-05-01,51.80342,-0.372683,0.000749588,1.9468431,1.4186459,286.15283,4.0,0.27772903,0.26614326,0.3279168,0.4207306,2.3829346,2.7816162,site_1
2011-06-01,51.80342,-0.372683,0.0025291443,1.7587786,0.8497534,287.91602,4.0,0.3551011,0.30465734,0.32364076,0.41275024,2.3898926,2.7867432,site_1
2011-07-01,51.80342,-0.372683,0.0017986298,0.94629097,0.015144348,288.8474,4.0,0.3383512,0.30887908,0.31057608,0.40579224,2.2663574,2.3173828,site_1
2011-08-01,51.80342,-0.372683,0.002521515,1.8756008,0.8283138,289.2329,4.0,0.35830134,0.32566077,0.29661447,0.39938354,2.1921387,2.0488281,site_1
2011-09-01,51.80342,-0.372683,0.001083374,2.3247814,2.6470337,288.58057,4.0,0.37739754,0.3697768,0.30888355,0.39474487,2.1564941,1.9645996,site_1
2011-10-01,51.80342,-0.372683,0.0008506775,2.0724974,2.0344114,286.01392,4.0,0.32435066,0.30375308,0.28991258,0.3905182,2.1420898,1.9381104,site_1
2011-11-01,51.80342,-0.372683,0.0009174347,-0.33699417,1.8197451,282.8069,4.0,0.37469286,0.35907072,0.3085971,0.3872528,2.171875,2.0766602,site_1
2011-12-01,51.80342,-0.372683,0.0020713806,4.528721,1.554965,279.30127,4.0,0.419855,0.40390676,0.33275396,0.3852539,2.184204,2.1381836,site_1
2012-01-01,51.80342,-0.372683,0.00141716,3.0890417,0.5095415,278.84204,4.0,0.42729378,0.4245476,0.38121182,0.38458252,2.173706,2.1306152,site_1
2012-02-01,51.80342,-0.372683,0.0007801056,1.5750704,-0.48022556,276.92896,4.0,0.41443682,0.41450107,0.3997298,0.3848877,2.0916748,1.916748,site_1
2012-03-01,51.80342,-0.372683,0.0008792877,0.70694923,-0.42175388,281.1538,4.0,0.39756703,0.40188366,0.39667672,0.38546753,2.131958,2.0187988,site_1
2012-04-01,51.80342,-0.372683,0.004096031,0.6674328,0.2742405,280.73096,4.0,0.40827185,0.38545763,0.36441767,0.3847046,2.253296,2.3707275,site_1
2012-05-01,51.80342,-0.372683,0.0025424957,0.12950993,-0.81819725,285.55957,4.0,0.41131616,0.42240512,0.4330768,0.39079285,2.3829346,2.7816162,site_1
2012-06-01,51.80342,-0.372683,0.004650116,1.0152988,2.0944052,287.11475,4.0,0.43830556,0.4318472,0.42396045,0.39579773,2.3898926,2.7867432,site_1
2012-07-01,51.80342,-0.372683,0.004032135,1.7676859,1.3744497,289.09204,4.0,0.42887002,0.4347427,0.4435227,0.40611267,2.2663574,2.3173828,site_1
2012-08-01,51.80342,-0.372683,0.0020256042,1.1669588,2.0046434,290.40308,4.0,0.3798378,0.3655507,0.39966965,0.41244507,2.1921387,2.0488281,site_1
2012-09-01,51.80342,-0.372683,0.0014419556,2.3442698,0.85696125,286.6897,4.0,0.3450784,0.35036194,0.35572326,0.4091339,2.1564941,1.9645996,site_1
2012-10-01,51.80342,-0.372683,0.002746582,0.6413374,0.549242,283.20508,4.0,0.43900043,0.4329623,0.3864889,0.4063263,2.1420898,1.9381104,site_1
